Dataset,Samples,Gorilla,DoD (16-bit),RLE,GZIP,ZLIB,DLC v2,Winner
massive_sensor_3m,"3,000,000",1.2x,4.3x,0.7x,1.2x,1.2x,5.2x,>> DLC v2
noisy_ramp_100k,"100,000",1.0x,4.1x,0.7x,1.3x,1.3x,4.4x,>> DLC v2
ramp_1m,"1,000,000",1.0x,8.0x,0.7x,1.4x,1.4x,2355.7x,>> DLC v2
random_walk_50k,"50,000",1.0x,2.7x,0.7x,1.1x,1.1x,3.0x,>> DLC v2
real_ambient_temp_7k,"7,267",1.2x,2.7x,0.7x,1.1x,1.1x,2.9x,>> DLC v2
real_cpu_4k,"4,032",1.2x,2.6x,0.7x,2.8x,2.8x,3.0x,>> DLC v2
real_ec2_network_4k,"4,730",1.2x,2.0x,0.7x,7.8x,8.5x,5.7x,ZLIB
real_jena_pressure_420k,"420,551",1.3x,3.9x,0.7x,3.8x,3.9x,7.1x,>> DLC v2
real_jena_temperature_420k,"420,551",1.0x,3.4x,0.7x,3.8x,4.0x,5.6x,>> DLC v2
real_machine_temp_22k,"22,695",1.1x,2.7x,0.7x,1.1x,1.1x,2.9x,>> DLC v2
real_nyc_taxi_10k,"10,320",3.6x,2.0x,0.7x,2.9x,2.9x,3.4x,Gorilla
real_twitter_vol_15k,"15,902",4.3x,2.3x,0.7x,5.4x,5.5x,5.6x,>> DLC v2
sine_1m,"1,000,000",1.0x,8.0x,0.7x,1.1x,1.1x,101.9x,>> DLC v2
synthetic_heartbeat_1m,"1,000,000",1.0x,4.0x,0.7x,1.0x,1.0x,4.1x,>> DLC v2
synthetic_industrial_ramp_1m,"1,000,000",1.1x,3.5x,0.7x,1.2x,1.2x,3.7x,>> DLC v2
synthetic_lorenz_0m,"500,000",1.0x,7.5x,0.7x,1.0x,1.0x,15.5x,>> DLC v2
synthetic_noisy_sine_1m,"1,000,000",1.2x,2.7x,0.7x,1.1x,1.1x,3.2x,>> DLC v2
synthetic_random_walk_1m,"1,000,000",1.0x,2.7x,0.7x,1.1x,1.1x,3.0x,>> DLC v2
synthetic_vibration_1m,"1,000,000",1.0x,4.1x,0.7x,1.1x,1.1x,4.4x,>> DLC v2
test_recovered,"1,000,000",3.8x,8.0x,0.7x,3.7x,3.7x,102.0x,>> DLC v2
test_rt_rec,"3,000,000",1.7x,4.3x,0.7x,3.3x,3.3x,5.2x,>> DLC v2
